ID	n	popN	family	zea	symp_allo	RI_ACCESSION	GEOCTY	LOCALITY
HILO203	203	33	O	mexicana	allopatric	RIMME0033	Mexico	Puerta Encantada
HILO204	204	22	N	mexicana	allopatric	RIMME0022	Mexico	Amecameca
HILO205	205	20	P	mexicana	allopatric	RIMME0020	Mexico	Malinalco
HILO206	206	371	G	maize	sympatric	RIMMA0371	Mexico	Ixtlan
HILO207	207	21	H	mexicana	sympatric	RIMME0021	Mexico	El Porvenir
HILO208	208	20	F	mexicana	allopatric	RIMME0020	Mexico	Malinalco
HILO209	209	362	F	maize	sympatric	RIMMA0362	Mexico	Santa Clara
HILO210	210	22	E	mexicana	allopatric	RIMME0022	Mexico	Amecameca
HILO211	211	29	H	mexicana	sympatric	RIMME0029	Mexico	Ixtlan
HILO212	212	363	C	maize	sympatric	RIMMA0363	Mexico	El Porvenir
HILO213	213	363	F	maize	sympatric	RIMMA0363	Mexico	El Porvenir
HILO214	214	20	Q	mexicana	allopatric	RIMME0020	Mexico	Malinalco
HILO215	215	34	F	mexicana	sympatric	RIMME0034	Mexico	Santa Clara
HILO216	216	34	D	mexicana	sympatric	RIMME0034	Mexico	Santa Clara
HILO217	217	20	D	mexicana	allopatric	RIMME0020	Mexico	Malinalco
HILO218	218	371	C	maize	sympatric	RIMMA0371	Mexico	Ixtlan
HILO219	219	363	A	maize	sympatric	RIMMA0363	Mexico	El Porvenir
HILO220	220	360	D1	maize	sympatric	RIMMA0360	Mexico	Nabogame
HILO221	221	24	A1	mexicana	sympatric	RIMME0024	Mexico	Jicaltepec
HILO222	222	25	D1	mexicana	sympatric	RIMME0025	Mexico	Cocotilan
HILO223	223	360	F1	maize	sympatric	RIMMA0360	Mexico	Nabogame
HILO224	224	365	I1	maize	sympatric	RIMMA0365	Mexico	Tlapala
HILO225	225	30	D1	mexicana	sympatric	RIMME0030	Mexico	San Pedro
HILO226	226	24	H1	mexicana	sympatric	RIMME0024	Mexico	Jicaltepec
HILO227	227	23	F1	mexicana	sympatric	RIMME0023	Mexico	Tlapala
HILO228	228	31	N1	mexicana	sympatric	RIMME0031	Mexico	Tenango del Aire
HILO229	229	367	A1	maize	sympatric	RIMMA0367	Mexico	Cocotilan
HILO230	230	31	H1	mexicana	sympatric	RIMME0031	Mexico	Tenango del Aire
