ID	popN	family	ind	RI_ACCESSION	zea	symp_allo	GEOCTY	LOCALITY	ELEVATION	LAT	LON	reads_q30	est_coverage
HILO134	31	A	xi	RIMME0031	mexicana	sympatric	Mexico	Tenango del Aire	2609	19.1197	-99.5896	9563394	0.671875078868419
HILO135	360	B	x	RIMMA0360	maize	sympatric	Mexico	Nabogame	2020	26.2465	-106.915	17508391	1.23004987392385
HILO137	374	H	xi	RIMMA0374	maize	sympatric	Mexico	Xochimilco	2237	19.2861	-99.0827	12502306	0.878347982921869
HILO139	30	H	xi	RIMME0030	mexicana	sympatric	Mexico	San Pedro	2459	19.0886	-98.4935	12330453	0.866274471370554
HILO140	18	F	xi	RIMME0018	mexicana	sympatric	Mexico	Nabogame	2020	26.2465	-106.915	1490565	0.10471946224672
HILO141	23	H	xi	RIMME0023	mexicana	sympatric	Mexico	Tlapala	2272	19.2351	-98.8368	14020293	0.984993974433485
HILO142	27	C	xi	RIMME0027	mexicana	sympatric	Mexico	Amatlan	1658	18.9719	-99.0551	9500201	0.667435462362089
HILO143	33	F	xi	RIMME0033	mexicana	allopatric	Mexico	Puerta Encantada	1658	18.9725	-99.0298	4797007	0.337013141616601
HILO146	20	J	xi	RIMME0020	mexicana	allopatric	Mexico	Malinalco	1887	18.9531	-99.503	7641942	0.536883702998944
HILO147	29	F	xi	RIMME0029	mexicana	sympatric	Mexico	Ixtlan	1547	20.1683	-102.373	5222638	0.366915795600516
HILO148	21	B	xi	RIMME0021	mexicana	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	7730236	0.543086787198299
HILO149	21	G	xi	RIMME0021	mexicana	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	4794697	0.33685085284839
HILO151	22	C	xi	RIMME0022	mexicana	allopatric	Mexico	Amecameca	2467	19.139	-98.7733	24231847	1.70240545503536
HILO152	33	M	xi	RIMME0033	mexicana	allopatric	Mexico	Puerta Encantada	1658	18.9725	-99.0298	7433241	0.522221439702575
HILO153	22	P	xi	RIMME0022	mexicana	allopatric	Mexico	Amecameca	2467	19.139	-98.7733	5005895	0.351688542575159
HILO154	371	D	xi	RIMMA0371	maize	sympatric	Mexico	Ixtlan	1547	20.1683	-102.373	9727054	0.683372992204166
HILO155	21	I	xi	RIMME0021	mexicana	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	8054447	0.565864191454049
HILO156	21	Q	xi	RIMME0021	mexicana	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	4260992	0.299355473178006
HILO157	20	H	xi	RIMME0020	mexicana	allopatric	Mexico	Malinalco	1887	18.9531	-99.503	15372858	1.08001826351429
HILO158	22	B	xi	RIMME0022	mexicana	allopatric	Mexico	Amecameca	2467	19.139	-98.7733	15826918	1.11191819342526
HILO159	33	G	xi	RIMME0033	mexicana	allopatric	Mexico	Puerta Encantada	1658	18.9725	-99.0298	4036137	0.283558312582201
HILO160	22	J	xi	RIMME0022	mexicana	allopatric	Mexico	Amecameca	2467	19.139	-98.7733	18588785	1.30595282260075
HILO161	21	D	xi	RIMME0021	mexicana	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	10326461	0.725484257869816
HILO162	371	I	xi	RIMMA0371	maize	sympatric	Mexico	Ixtlan	1547	20.1683	-102.373	16619736	1.16761752530245
HILO163	29	K	xi	RIMME0029	mexicana	sympatric	Mexico	Ixtlan	1547	20.1683	-102.373	10296783	0.723399233600121
HILO164	20	A	xi	RIMME0020	mexicana	allopatric	Mexico	Malinalco	1887	18.9531	-99.503	6774012	0.47590738672438
HILO165	362	H	xi	RIMMA0362	maize	sympatric	Mexico	Santa Clara	2173	19.4184	-101.642	11275516	0.792160001123254
HILO166	20	G	xi	RIMME0020	mexicana	allopatric	Mexico	Malinalco	1887	18.9531	-99.503	1289725	0.0906094725464172
HILO167	33	K	xi	RIMME0033	mexicana	allopatric	Mexico	Puerta Encantada	1658	18.9725	-99.0298	5597363	0.393242054764257
HILO169	363	B	xi	RIMMA0363	maize	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	9343280	0.656410996649277
HILO170	371	F	xi	RIMMA0371	maize	sympatric	Mexico	Ixtlan	1547	20.1683	-102.373	12993653	0.912867506469342
HILO171	34	C	xi	RIMME0034	mexicana	sympatric	Mexico	Santa Clara	2173	19.4184	-101.642	4053255	0.284760935584042
HILO173	33	H	xi	RIMME0033	mexicana	allopatric	Mexico	Puerta Encantada	1658	18.9725	-99.0298	1565643	0.109994057978244
HILO174	22	M	xi	RIMME0022	mexicana	allopatric	Mexico	Amecameca	2467	19.139	-98.7733	8026446	0.563896984614783
HILO175	363	G	xi	RIMMA0363	maize	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	8848915	0.621679443879959
HILO176	29	R	xi	RIMME0029	mexicana	sympatric	Mexico	Ixtlan	1547	20.1683	-102.373	11419950	0.802307194174307
HILO177	363	E	xi	RIMMA0363	maize	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	12552686	0.881887423676207
HILO179	33	J	xi	RIMME0033	mexicana	allopatric	Mexico	Puerta Encantada	1658	18.9725	-99.0298	1114881	0.078325828654963
HILO181	20	O	xi	RIMME0020	mexicana	allopatric	Mexico	Malinalco	1887	18.9531	-99.503	6898387	0.484645337177353
HILO182	29	D	xi	RIMME0029	mexicana	sympatric	Mexico	Ixtlan	1547	20.1683	-102.373	6515934	0.457776148316321
HILO183	21	F	xi	RIMME0021	mexicana	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	12965790	0.910909994803242
HILO184	362	D	xi	RIMMA0362	maize	sympatric	Mexico	Santa Clara	2173	19.4184	-101.642	8589991	0.6034887698451
HILO185	33	A	xi	RIMME0033	mexicana	allopatric	Mexico	Puerta Encantada	1658	18.9725	-99.0298	9652974	0.6781685108409
HILO188	371	B	xi	RIMMA0371	maize	sympatric	Mexico	Ixtlan	1547	20.1683	-102.373	15188627	1.06707513708292
HILO189	29	C	xi	RIMME0029	mexicana	sympatric	Mexico	Ixtlan	1547	20.1683	-102.373	11174023	0.785029622788994
HILO191	20	L	xi	RIMME0020	mexicana	allopatric	Mexico	Malinalco	1887	18.9531	-99.503	7230398	0.507970729481611
HILO192	33	D	xi	RIMME0033	mexicana	allopatric	Mexico	Puerta Encantada	1658	18.9725	-99.0298	1109659	0.0779589576819747
HILO193	362	B	xi	RIMMA0362	maize	sympatric	Mexico	Santa Clara	2173	19.4184	-101.642	8519950	0.598568047934131
HILO194	21	C	xi	RIMME0021	mexicana	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	7560166	0.531138540094483
HILO195	371	E	xi	RIMMA0371	maize	sympatric	Mexico	Ixtlan	1547	20.1683	-102.373	14921218	1.04828835040812
HILO196	33	B	xi	RIMME0033	mexicana	allopatric	Mexico	Puerta Encantada	1658	18.9725	-99.0298	6942026	0.487711189799
HILO197	20	C	xi	RIMME0020	mexicana	allopatric	Mexico	Malinalco	1887	18.9531	-99.503	11295483	0.793562780272556
HILO199	22	L	xi	RIMME0022	mexicana	allopatric	Mexico	Amecameca	2467	19.139	-98.7733	11981690	0.841772169349809
HILO200	363	H	xi	RIMMA0363	maize	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	12369986	0.869051857463076
HILO201	363	J	xi	RIMMA0363	maize	sympatric	Mexico	El Porvenir	2094	19.6789	-100.64	25489912	1.79079065814386
