ID	popN	family	ind	RI_ACCESSION	zea	symp_allo	GEOCTY	LOCALITY	ELEVATION	LAT	LON	reads_q30	est_coverage
HILO323	23	I	i	RIMME0023	mexicana	sympatric	Mexico	Tlapala	2272	19.2351	-98.8368	18384134	1.29157509156034
HILO324	29	T	i	RIMME0029	mexicana	sympatric	Mexico	Ixtlan	1547	20.1683	-102.373	16394749	1.15181109106275
HILO325	18	L	i	RIMME0018	mexicana	sympatric	Mexico	Nabogame	2020	26.2465	-106.915	22148108	1.55601262577765
HILO326	28	C	i	RIMME0028	mexicana	sympatric	Mexico	Puruandiro	1915	20.1076	-101.49	25633085	1.80084925979374
HILO327	20	Q	i	RIMME0020	mexicana	allopatric	Mexico	Malinalco	1887	18.9531	-99.503	21509561	1.51115158418654
HILO328	31	C	i	RIMME0031	mexicana	sympatric	Mexico	Tenango del Aire	2609	19.1197	-99.5896	25672167	1.80359496093628
HILO329	360	A	i	RIMMA0360	maize	sympatric	Mexico	Nabogame	2020	26.2465	-106.915	27323813	1.91963114918835
HILO330	367	E	i	RIMMA0367	maize	sympatric	Mexico	Cocotilan	2269	19.2244	-98.8427	23791899	1.67149696196292
HILO331	368	A	i	RIMMA0368	maize	sympatric	Mexico	Opopeo	2213	19.4181	-101.613	18756934	1.3177661100839
HILO332	25	M	i	RIMME0025	mexicana	sympatric	Mexico	Cocotilan	2269	19.2244	-98.8427	13346826	0.937679632502129
HILO333	362	F	i	RIMMA0362	maize	sympatric	Mexico	Santa Clara	2173	19.4184	-101.642	20365548	1.43077909042528
HILO334	19	L	i	RIMME0019	mexicana	sympatric	Mexico	Penjamillo	1705	20.1176	-101.93	28663893	2.01377830611715
HILO335	31	I	i	RIMME0031	mexicana	sympatric	Mexico	Tenango del Aire	2609	19.1197	-99.5896	16950477	1.19085369391163
HILO336	361	A	i	RIMMA0361	maize	sympatric	Mexico	Penjamillo	1705	20.1176	-101.93	26244211	1.84378384237483
HILO337	20	N	i	RIMME0020	mexicana	allopatric	Mexico	Malinalco	1887	18.9531	-99.503	25058135	1.76045621767967
HILO338	366	B	i	RIMMA0366	maize	sympatric	Mexico	Jicaltepec	2587	19.3764	-99.6303	25528794	1.7935223083108
HILO339	360	M	i	RIMMA0360	maize	sympatric	Mexico	Nabogame	2020	26.2465	-106.915	18348943	1.28910275214815
