sample_name	organism	isolate	ecotype	dev_stage	geo_loc_name	tissue	growth_protocol	lat_lon	isolation_source
HILO309	Zea mays subsp. mexicana	family_J_seed_i	RIMME0021	seedling	Mexico:El Porvenir	leaf	greenhouse	19.6789 N 100.64 W	Elevation: 2094 m
HILO310	Zea mays subsp. mexicana	family_O_seed_i	RIMME0018	seedling	Mexico:Nabogame	leaf	greenhouse	26.2465 N 106.915 W	Elevation: 2020 m
HILO311	Zea mays subsp. mexicana	family_H_seed_i	RIMME0022	seedling	Mexico:Amecameca	leaf	greenhouse	19.139 N 98.7733 W	Elevation: 2467 m
HILO312	Zea mays subsp. mexicana	family_S_seed_i	RIMME0029	seedling	Mexico:Ixtlan	leaf	greenhouse	20.1683 N 102.373 W	Elevation: 1547 m
HILO313	Zea mays subsp. mexicana	family_F_seed_i	RIMME0031	seedling	Mexico:Tenango del Aire	leaf	greenhouse	19.1197 N 99.5896 W	Elevation: 2609 m
HILO314	Zea mays subsp. mays	family_F_seed_i	RIMMA0360	seedling	Mexico:Nabogame	leaf	greenhouse	26.2465 N 106.915 W	Elevation: 2020 m
HILO315	Zea mays subsp. mexicana	family_C_seed_i	RIMME0024	seedling	Mexico:Jicaltepec	leaf	greenhouse	19.3764 N 99.6303 W	Elevation: 2587 m
HILO316	Zea mays subsp. mexicana	family_O_seed_i	RIMME0024	seedling	Mexico:Jicaltepec	leaf	greenhouse	19.3764 N 99.6303 W	Elevation: 2587 m
HILO317	Zea mays subsp. mays	family_D_seed_i	RIMMA0363	seedling	Mexico:El Porvenir	leaf	greenhouse	19.6789 N 100.64 W	Elevation: 2094 m
HILO318	Zea mays subsp. mays	family_A_seed_i	RIMMA0371	seedling	Mexico:Ixtlan	leaf	greenhouse	20.1683 N 102.373 W	Elevation: 1547 m
HILO319	Zea mays subsp. mexicana	family_K_seed_i	RIMME0019	seedling	Mexico:Penjamillo	leaf	greenhouse	20.1176 N 101.93 W	Elevation: 1705 m
HILO320	Zea mays subsp. mexicana	family_C_seed_i	RIMME0035	seedling	Mexico:Xochimilco	leaf	greenhouse	19.2861 N 99.0827 W	Elevation: 2237 m
HILO321	Zea mays subsp. mexicana	family_M_seed_i	RIMME0024	seedling	Mexico:Jicaltepec	leaf	greenhouse	19.3764 N 99.6303 W	Elevation: 2587 m
HILO322	Zea mays subsp. mexicana	family_F_seed_i	RIMME0028	seedling	Mexico:Puruandiro	leaf	greenhouse	20.1076 N 101.49 W	Elevation: 1915 m
